世代数,拡張率
1,1.000000
2,1.000000
3,1.001803
4,1.008939
5,1.005961
6,1.008986
7,1.011870
8,1.011860
9,1.023218
10,1.027891
11,1.028159
12,1.030683
13,1.026501
14,1.034252
15,1.031887
16,1.026524
17,1.017991
18,1.018047
19,1.015202
20,1.014818
21,1.011388
22,1.011192
23,1.011684
24,1.010475
25,1.018553
26,1.022234
27,1.034832
28,1.034686
29,1.037191
30,1.035634
31,1.037900
32,1.034810
33,1.031151
34,1.031311
35,1.026328
36,1.019071
37,1.020288
38,1.018647
39,1.011723
40,1.017541
41,1.017388
42,1.011188
43,1.008256
44,1.006681
45,1.015135
46,1.008846
47,1.006964
48,1.007254
49,1.013058
50,1.007971
51,1.004192
52,1.002431
53,1.004452
54,1.005386
55,1.020021
56,1.019069
57,1.015669
58,1.015770
59,1.011962
60,1.013081
61,1.011151
62,1.009660
63,1.002236
64,1.002203
65,1.000615
66,1.000000
67,1.000000
68,1.000000
69,1.001641
70,1.000000
71,1.000000
72,1.006417
73,1.009021
74,1.012648
75,1.022681
76,1.026113
77,1.026026
78,1.025221
79,1.031750
80,1.032070
81,1.044766
82,1.051805
83,1.051077
84,1.046645
85,1.043784
86,1.042242
87,1.048923
88,1.042638
89,1.036825
90,1.038664
91,1.039109
92,1.042980
93,1.042218
94,1.041548
95,1.035996
96,1.041103
97,1.040280
98,1.040946
99,1.036089
100,1.039495
